AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 3 | X: 0 | Y: 15 | Score: -112.9252
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 1 | X: 0 | Y: 15 | Score: -112.9252
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 1 | X: 1 | Y: 15 | Score: -113.0077
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 0 | X: 0 | Y: 15 | Score: -112.9252
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 3 | X: 1 | Y: 15 | Score: -113.0077
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 0 | X: 1 | Y: 15 | Score: -113.0077
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 0 | X: 2 | Y: 16 | Score: -101.1033
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 0 | X: 3 | Y: 16 | Score: -105.4799
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 1 | X: 2 | Y: 16 | Score: -101.1033
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 1 | X: 3 | Y: 16 | Score: -105.4799
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 2 | X: 0 | Y: 15 | Score: -112.9252
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 3 | X: 2 | Y: 16 | Score: -101.1033
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 3 | X: 3 | Y: 16 | Score: -105.4799
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 0 | X: 4 | Y: 12 | Score: -156.9159
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 0 | X: 5 | Y: 12 | Score: -156.9159
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 1 | X: 4 | Y: 12 | Score: -156.9159
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 1 | X: 5 | Y: 12 | Score: -156.9159
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 2 | X: 1 | Y: 15 | Score: -113.0077
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 2 | X: 2 | Y: 16 | Score: -101.1033
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 3 | X: 4 | Y: 12 | Score: -156.9159
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 3 | X: 5 | Y: 12 | Score: -156.9159
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 0 | X: 6 | Y: 12 | Score: -152.5392
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 0 | X: 7 | Y: 16 | Score: -101.0208
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 1 | X: 6 | Y: 12 | Score: -152.5392
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 1 | X: 7 | Y: 16 | Score: -101.0208
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 2 | X: 3 | Y: 16 | Score: -105.4799
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 2 | X: 4 | Y: 12 | Score: -156.9159
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 2 | X: 5 | Y: 12 | Score: -156.9159
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 2 | X: 6 | Y: 12 | Score: -152.5392
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 3 | X: 6 | Y: 12 | Score: -152.5392
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 2 | X: 7 | Y: 16 | Score: -101.0208
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 3 | X: 7 | Y: 16 | Score: -101.0208
